paises,medicos,crescimento,densidade,mortalidade,nascimento
Canada,2,1,4,8,10
EstadosUnidos,3,1,34,8,12
Mexico,2,1,65,5,18
Gronelandia,2,0,0,9,14
Argentina,4,1,16,7,16
Bolívia,2,1,11,6,21
Brasil,2,1,25,7,14
Chile,2,1,24,6,13
Colombia,2,1,43,6,15
Equador,2,1,60,5,17
Guiana,1,0,3,7,15
Guiana Francesa,0,0,0,0,0
Paraguai,1,1,18,5,17
Peru,1,1,25,6,17
Suriname,1,1,4,6,15
Uruguai,5,0,19,9,13
Venezuela,0,1,31,8,18
Afeganistao,1,2,56,13,37
Arabia Saudita,3,2,16,3,15
Armenia,4,0,102,10,12
Azerbaijao,3,1,118,7,14
Bahrein,1,2,1980,3,13
Bangladesh,1,1,1096,5,18
Birmania,1,1,84,7,17
Brunei,2,1,81,4,17
Butao,0,1,20,6,16
Camboja,1,1,94,7,21
Cazaquistao,4,1,7,8,16
Catar,3,1,211,2,9
China,2,0,145,8,12
Coreia do Norte,4,1,213,9,14
Coreia do Sul,2,0,520,7,8
Emirados Árabes,2,1,120,2,10
Filipinas,1,2,364,6,23
Geórgia,6,0,71,11,12
HongKong,2,0,6543,8,8
Iémen,0,2,57,6,26
India,1,1,403,7,18
Indonesia,0,1,140,7,15
Iran,1,1,52,5,16
Iraque,1,2,89,4,24
Israel,3,1,395,5,18
Japao,2,0,332,10,7
Jordania,2,1,121,3,23
Kuwait,3,1,168,2,18
Laos,0,1,31,7,22
Libano,2,0,526,5,14
Macau,2,1,21789,5,8
Malasia,2,1,99,5,18
Mongolia,3,1,2,6,17
Nepal,1,1,206,6,18
Oma,2,2,12,3,23
Paquistao,1,2,293,6,27
Quirguistao,2,1,30,6,21
Russia,4,0,8,13,10
Siria,1,5,103,5,24
Singapura,2,2,8634,4,9
SriLanka,1,1,349,6,14
Tailandia,1,0,134,8,11
TimorLeste,1,2,93,6,32
Tajiquistao,2,1,62,6,22
Turcomenistao,2,1,11,6,18
Turquia,2,0,105,6,15
Uzbequistao,2,1,68,5,16
Vietna,1,1,298,6,14
Albania,1,7,107,7,13
Alemanha,4,12,225,12,9
Austria,5,10,106,10,10
Belgica,3,10,384,10,11
Bielorrussia,5,13,46,13,10
BosniaeHerzegovina,2,10,75,10,9
Bulgaria,4,15,63,15,8
Croacia,3,13,75,13,9
Dinamarca,4,9,136,9,11
Espanha,4,9,99,9,9
Eslovenia,3,10,104,9
Estonia,3,13,27,13,9
Finlandia,4,10,16,10,11
Franca,3,10,105,10,12
Grecia,5,12,80,12,8
Hungria,3,13,105,13,9
Islandia,4,7,3,7,13
Irlanda,3,7,74,7,13
Italia,4,11,207,11,8
Letonia,3,15,29,15,9
Lituania,5,15,42,15,10
Luxemburgo,3,7,243,7,12
Macedonia,3,10,83,10,11
Malta,3,8,1447,8,10
Moldavia,3,13,99,13,11
Monaco,8,11,15470,11,6
Montenegro,2,10,44,10,12
Noruega,3,8,17,8,12
PaisesBaixos,4,9,416,9,11
Portugal,5,11,112,11,8
Polonia,2,11,122,11,9
ReinoUnido,3,9,270,9,12
RepublicaCheca,4,11,11,9,9
Romenia,3,12,89,12,9
SaoMarinho,6,9,561,9,9
Servia,3,13,91,13,9
Suecia,4,9,204,9,12
Suica,4,9,23,9,10
Turquia,2,6,105,6,15
Ucrania,3,14,73,14,10
Austrália,4,1,3,7,12
Fiji,1,0,51,6,17
Ilhas Salomão,0,2,24,4,24
Nauru,1,0,466,6,22
Nova Caledónia,2,1,16,6,14
Nova Zelândia,3,1,18,7,13
Palau,1,0,47,8,11
Papua-Nova Guiné,0,2,16,7,22
Quiribáti,0,1,138,7,20
Samoa,0,1,72,5,20
Tonga,1,0,142,5,21
Tuvalu,1,1,436,8,23
Vanuatu,0,2,24,4,22
